Timetamp,Classification,Confidence
2022-11-20 18:32:30,Urinating,0.3485287
2022-11-20 18:32:30,Urinating,0.20032835
2022-11-20 18:32:31,Licking,0.32785088
2022-11-20 18:32:32,Licking,0.86223954
2022-11-20 18:32:32,Licking,0.5695944
2022-11-20 18:32:33,Licking,0.65655994
2022-11-20 18:32:33,Licking,0.36549997
2022-11-20 18:32:33,Urinating,0.6128195
2022-11-20 18:32:35,Licking,0.7978462
2022-11-20 18:32:35,Licking,0.8862319
2022-11-20 18:32:35,Licking,0.723746
2022-11-20 18:32:36,Licking,0.93518925
2022-11-20 18:32:36,Licking,0.4325116
2022-11-20 18:32:36,Urinating,0.44887513
2022-11-20 18:32:36,Licking,0.78467417
2022-11-20 18:32:37,Licking,0.78741115
2022-11-20 18:32:37,Licking,0.30654758
2022-11-20 18:32:39,Licking,0.62436587
2022-11-20 18:32:40,Licking,0.33926982
2022-11-20 18:32:40,Licking,0.5332779
2022-11-20 18:32:40,Licking,0.67533505
2022-11-20 18:32:41,Licking,0.34680066
2022-11-20 18:32:41,Licking,0.25057235
2022-11-20 18:32:41,Licking,0.6715241
2022-11-20 18:32:42,Urinating,0.28843686
2022-11-20 18:32:42,Urinating,0.7164209
2022-11-20 18:32:42,Licking,0.6656805
2022-11-20 18:32:43,Licking,0.37839738
2022-11-20 18:32:43,Licking,0.3426977
2022-11-20 18:32:43,Licking,0.44770658
2022-11-20 18:32:44,Urinating,0.3696352
2022-11-20 18:32:44,Licking,0.26800323
2022-11-20 18:32:44,Urinating,0.2154193
2022-11-20 18:32:45,Urinating,0.24698743
2022-11-20 18:32:45,Urinating,0.84005517
2022-11-20 18:32:45,Urinating,0.6348151
2022-11-20 18:32:46,Licking,0.45952174
2022-11-20 18:32:51,Licking,0.45689058
2022-11-20 18:32:52,Licking,0.6959071
2022-11-20 18:32:52,Licking,0.7058457
2022-11-20 18:32:52,Licking,0.47072572
2022-11-20 18:32:53,Biting,0.86375314
2022-11-20 18:32:53,Biting,0.5105841
2022-11-20 18:32:53,Licking,0.67918456
2022-11-20 18:32:53,Licking,0.3946892
2022-11-20 18:32:54,Licking,0.69152904
2022-11-20 18:32:54,Licking,0.70261616
2022-11-20 18:32:55,Biting,0.8115373
2022-11-20 18:32:55,Licking,0.41967613
2022-11-20 18:32:55,Licking,0.3726426
2022-11-20 18:32:56,Biting,0.23117085
2022-11-20 18:32:56,Urinating,0.6516195
2022-11-20 18:32:57,Urinating,0.40175876
2022-11-20 18:32:57,Licking,0.63002783
2022-11-20 18:32:57,Licking,0.77400976
2022-11-20 18:32:57,Licking,0.71239084
2022-11-20 18:32:58,Urinating,0.36864734
2022-11-20 18:32:58,Licking,0.67467266
2022-11-20 18:32:58,Licking,0.730643
2022-11-20 18:32:59,Licking,0.7684189
2022-11-20 18:32:59,Licking,0.59170836
2022-11-20 18:32:59,Urinating,0.23000883
2022-11-20 18:33:00,Urinating,0.3270741
2022-11-20 18:33:00,Urinating,0.42389965
2022-11-20 18:33:03,Urinating,0.6924343
2022-11-20 18:33:03,Urinating,0.8003022
2022-11-20 18:33:03,Urinating,0.6205124
2022-11-20 18:33:04,Urinating,0.7044492
2022-11-20 18:33:04,Urinating,0.7236352
2022-11-20 18:33:04,Urinating,0.21562333
2022-11-20 18:33:04,Urinating,0.41864923
2022-11-20 18:33:05,Urinating,0.4107731
2022-11-20 18:33:05,Urinating,0.4051836
2022-11-20 18:33:05,Urinating,0.22082701
2022-11-20 18:33:06,Urinating,0.7752451
2022-11-20 18:33:06,Urinating,0.9755346
2022-11-20 18:33:06,Urinating,0.7763258
2022-11-20 18:33:07,Urinating,0.77948874
2022-11-20 18:33:07,Urinating,0.7869707
2022-11-20 18:33:07,Urinating,0.4196059
2022-11-20 18:33:07,Urinating,0.5619356
2022-11-20 18:33:08,Licking,0.54806936
2022-11-20 18:33:08,Urinating,0.77563846
2022-11-20 18:33:08,Urinating,0.3959462
2022-11-20 18:33:09,Urinating,0.7428211
2022-11-20 18:33:09,Urinating,0.5518383
2022-11-20 18:33:09,Urinating,0.44888937
2022-11-20 18:33:10,Urinating,0.8984909
2022-11-20 18:33:10,Urinating,0.9447818
2022-11-20 18:33:11,Urinating,0.25949416
2022-11-20 18:33:13,Urinating,0.36259854
2022-11-20 18:33:13,Licking,0.28869957
2022-11-20 18:33:14,Biting,0.38211936
2022-11-20 18:33:14,Urinating,0.25755674
2022-11-20 18:33:14,Urinating,0.8667
2022-11-20 18:33:15,Urinating,0.81245416
2022-11-20 18:33:15,Urinating,0.83649796
2022-11-20 18:33:15,Urinating,0.55696416
2022-11-20 18:33:16,Biting,0.79100126
2022-11-20 18:33:16,Urinating,0.57480025
2022-11-20 18:33:39,Urinating,0.20981447
2022-11-20 18:33:40,Urinating,0.3510261
2022-11-20 18:33:41,Urinating,0.33820626
2022-11-20 18:33:41,Urinating,0.26827237
2022-11-20 18:33:41,Biting,0.778205
2022-11-20 18:33:43,Biting,0.7050205
2022-11-20 18:33:43,Biting,0.5698408
2022-11-20 18:33:43,Biting,0.70019484
2022-11-20 18:33:44,Biting,0.4619901
2022-11-20 18:33:44,Biting,0.6100995
2022-11-20 18:33:44,Biting,0.6306932
2022-11-20 18:33:45,Biting,0.3649935
2022-11-20 18:33:45,Biting,0.71499
2022-11-20 18:33:45,Biting,0.47252762
2022-11-20 18:33:45,Biting,0.30832097
2022-11-20 18:33:46,Biting,0.8952094
2022-11-20 18:33:46,Urinating,0.62557375
